eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
1065095,1998,01,18,14,26,27.16,105.1523,-7.1246,23,4.02183,0
13343717,2008,01,28,11,14,05.67,104.9868,-6.9436,23,4.02183,0
17189950,2011,01,11,22,12,30.98,105.0297,-6.7677,23,4.02183,0
606931670,2015,01,17,08,23,58.77,104.8789,-6.9271,23,4.1229,0
614590080,2018,12,31,15,02,19.22,104.9181,-6.9137,23,4.1229,0
602013429,2012,03,21,09,21,10.80,104.04,-8.1,23,4.2,0
13270261,2007,11,20,05,10,00.49,104.9916,-7.1826,23,4.22397,0
604646391,2013,08,23,13,54,09.53,105.119,-7.046,23,4.22397,0
610940866,2017,07,24,13,09,24.31,104.8803,-6.9124,23,4.22397,0
601515597,2010,12,17,08,14,58.70,107.23,-7.89,23,4.3,0
604094003,2014,03,07,01,57,15.20,107.88,-8.1,23,4.3,0
12080677,2009,01,07,21,00,38.09,105.1994,-7.0968,23,4.32504,0
15160180,2009,08,15,10,10,02.70,105.0445,-6.8799,23,4.32504,0
607259827,2015,04,22,05,33,42.59,105.2891,-6.0875,23,4.32504,0
17173042,2010,05,19,07,47,41.08,105.0655,-7.1524,23,4.42611,0
618325930,2020,05,11,06,44,41.37,105.0234,-7.018,23,4.42611,0
615346311,2017,05,01,14,55,55.40,107.22,-7.92,23,4.52718,0
11695881,2007,03,13,07,39,29.52,104.9553,-6.9595,23,4.62825,0
